"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"126","Great news! #MAGA https://t.co/mRQGRJkozC",FALSE,69280,NA,2018-03-26 20:29:19,FALSE,NA,"978368319542702080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15775,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0
"127","So much Fake News. Never been more voluminous or more inaccurate. But through it all, our country is doing great!",FALSE,133710,NA,2018-03-26 12:38:55,FALSE,NA,"978249938743234560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27393,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,2,0
"128","The economy is looking really good. It has been many years that we have seen these kind of numbers. The underlying… https://t.co/8sWXaR8gR8",FALSE,98393,NA,2018-03-26 11:05:40,TRUE,NA,"978226474485534720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19692,FALSE,FALSE,NA,NA,0,1,0,0,2,0,1,3,0,3
"129",".@HowieCarrShow just wrote a book which everyone is talking about. He was a great help. He is a veteran journalist… https://t.co/yZX6N0gS4M",FALSE,75407,NA,2018-03-26 03:26:43,TRUE,NA,"978110975428657153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20612,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0
"130","“President Donald J. Trump Proclaims March 25, 2018, as Greek Independence Day: A National Day of Celebration of Gr… https://t.co/5xHxd4dTEc",FALSE,51794,NA,2018-03-25 13:45:44,TRUE,NA,"977904367524372481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11393,FALSE,FALSE,NA,NA,0,2,0,0,2,0,3,3,0,4
"131","Happy National #MedalOfHonorDay to our HEROES. We love you! https://t.co/6euI31R4Gz",FALSE,65054,NA,2018-03-25 13:08:27,FALSE,NA,"977894983083708416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15015,FALSE,FALSE,NA,NA,0,1,0,0,1,0,0,1,0,1
"132","....lawyer or law firm will take months to get up to speed (if for no other reason than they can bill more), which… https://t.co/VNRpirZlPZ",FALSE,82473,NA,2018-03-25 11:49:16,TRUE,NA,"977875057572745216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17915,FALSE,FALSE,NA,NA,1,0,1,1,0,0,0,1,1,1
"133","Many lawyers and top law firms want to represent me in the Russia case...don’t believe the Fake News narrative that… https://t.co/KKFpwlHShL",FALSE,66726,NA,2018-03-25 11:40:41,TRUE,NA,"977872899792089088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14295,FALSE,FALSE,NA,NA,0,1,0,1,0,1,0,3,2,2
"134","Much can be done with the $1.6 Billion given to building and fixing the border wall. It is just a down payment. Wor… https://t.co/XKkvhIVsRN",FALSE,80167,NA,2018-03-25 10:42:20,TRUE,NA,"977858212635594752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19674,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,1,1
"135","Because of the $700 &amp; $716 Billion Dollars gotten to rebuild our Military, many jobs are created and our Military i… https://t.co/sF9ouOGHwl",FALSE,117593,NA,2018-03-25 10:33:25,TRUE,NA,"977855968364171264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",31129,FALSE,FALSE,NA,NA,0,0,0,1,0,0,0,0,0,0
